"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US39023","Clark County, Ohio","132104","710","30919","1357","2014","629","1218","437","6548","819","7895","882","6553","504","5874","980","817","556","101185","1525"
"0500000US39025","Clermont County, Ohio","194650","893","46860","1786","2766","896","2515","888","12349","1455","9330","1373","10620","896","7843","1294","1437","626","147790","1764"
"0500000US39029","Columbiana County, Ohio","102196","537","22164","1159","1043","383","1128","559","4476","882","5947","980","5488","429","3434","895","648","351","80032","1148"
"0500000US39035","Cuyahoga County, Ohio","1216857","1714","305403","4717","18864","2043","14228","1496","59984","2863","60552","2429","67423","2411","66732","3704","17620","1990","911454","4455"
"0500000US39041","Delaware County, Ohio","184028","746","56176","1923","3814","756","3180","768","13039","1322","12348","1216","11841","896","9621","1405","2333","807","127852","2004"
"0500000US39043","Erie County, Ohio","73448","539","17358","1021","928","436","978","439","3552","525","3394","680","4330","591","3591","903","585","353","56090","1143"
"0500000US39045","Fairfield County, Ohio","145199","913","38117","2103","1900","735","1466","532","7564","863","9786","1047","10102","784","5896","1403","1403","498","107082","1774"
"0500000US39049","Franklin County, Ohio","1176907","2622","333663","4978","20271","2441","18907","2279","62932","2846","58385","3222","58753","2348","86374","4321","28041","3151","843244","5870"
"0500000US39055","Geauga County, Ohio","91567","420","20692","1084","1154","350","713","337","5661","838","5174","743","5052","651","1976","588","962","431","70875","1140"
"0500000US39057","Greene County, Ohio","158338","745","46702","1985","2447","649","1874","658","7544","1029","7773","1212","7564","716","15911","1524","3589","1073","111636","1956"
"0500000US39061","Hamilton County, Ohio","775864","1920","208324","4038","13798","1590","11511","1957","41625","2229","40083","2504","40283","1666","48244","3338","12780","1847","567540","4306"
"0500000US39063","Hancock County, Ohio","72570","423","17860","1426","912","422","825","318","3244","852","3756","843","4061","599","3581","920","1481","694","54710","1366"
"0500000US39081","Jefferson County, Ohio","65911","431","15572","1143","1160","375","612","257","2337","546","3183","681","3719","654","3980","676","581","300","50339","1131"
"0500000US39085","Lake County, Ohio","222499","780","52446","1766","2396","657","2654","903","10208","1186","11957","1327","12367","1131","11114","1359","1750","601","170053","1791"
"0500000US39089","Licking County, Ohio","163975","811","43641","2044","2744","876","2138","590","10464","1420","8025","1176","10530","954","8541","1774","1199","809","120334","2109"
"0500000US39093","Lorain County, Ohio","294484","912","78351","2156","4709","925","4513","910","16106","1218","16316","1525","17271","1172","16498","1882","2938","872","216133","2238"
"0500000US39095","Lucas County, Ohio","420327","1315","112490","2971","7225","1551","5590","1104","22238","2044","22396","1932","23284","1561","25693","2530","6064","1258","307837","3009"
"0500000US39099","Mahoning County, Ohio","226084","821","55477","2498","3321","802","2861","698","10054","943","11028","1149","12613","934","12681","1692","2919","861","170607","2368"
"0500000US39101","Marion County, Ohio","63193","441","13406","810","521","317","1193","713","2492","730","2910","724","3676","410","2044","590","570","311","49787","972"
"0500000US39103","Medina County, Ohio","171226","680","44069","2086","2170","580","2443","663","9225","905","9735","905","11169","986","7457","1362","1870","727","127157","2069"
"0500000US39109","Miami County, Ohio","99163","739","25809","1513","1638","691","915","405","5604","1033","5220","939","5721","708","5950","1393","761","401","73354","1526"
"0500000US39113","Montgomery County, Ohio","514675","1359","137070","3318","8090","1180","6518","1226","25137","1670","27087","1886","28712","1696","34338","2607","7188","1288","377605","3321"
"0500000US39119","Muskingum County, Ohio","82655","524","21551","1356","2031","770","932","389","4069","763","4344","859","4790","665","5000","1071","385","246","61104","1278"
"0500000US39133","Portage County, Ohio","157812","545","47281","2518","1584","498","1141","414","6720","1007","7643","1062","7508","1070","18840","2014","3845","1019","110531","2550"
"0500000US39139","Richland County, Ohio","117908","665","28816","1379","2279","691","1644","615","6258","1189","6443","1186","6295","687","5250","1140","647","289","89092","1386"
"0500000US39141","Ross County, Ohio","75056","394","18369","1069","1606","663","856","467","3639","680","4139","849","4404","590","2942","729","783","390","56687","1124"
"0500000US39145","Scioto County, Ohio","75236","531","18194","1068","1213","446","686","384","3216","621","4582","752","4545","509","3352","823","600","406","57042","1075"
"0500000US39151","Stark County, Ohio","362447","1143","92237","2504","5920","1043","3358","827","18109","1450","19583","1571","20193","1183","20962","1835","4112","1034","270210","2444"
"0500000US39153","Summit County, Ohio","525112","1373","132821","3073","7573","1234","6313","1262","26561","1914","26254","2022","28867","1683","30582","2785","6671","1404","392291","3416"
"0500000US39155","Trumbull County, Ohio","198752","770","41986","1807","1013","397","1386","480","10069","936","10061","1085","10187","727","8308","1342","962","496","156766","1832"
"0500000US39157","Tuscarawas County, Ohio","89963","459","21057","1210","1047","380","1289","502","5294","817","4755","846","5008","570","3259","856","405","298","68906","1222"
"0500000US39165","Warren County, Ohio","213891","1075","57693","2119","3556","953","3216","827","12733","1650","14527","1527","13518","1051","8440","1639","1703","664","156198","1999"
"0500000US39169","Wayne County, Ohio","111145","749","27016","1233","1770","610","1154","507","6190","721","6218","690","5475","682","5360","988","849","344","84129","1238"
"0500000US39173","Wood County, Ohio","125451","587","42503","1775","1805","489","1710","699","5398","980","6629","1049","6202","834","17632","2039","3127","1136","82948","1718"
"0500000US40017","Canadian County, Oklahoma","124269","525","33867","1683","2327","636","1486","496","8506","1083","7284","1292","7426","775","6019","1149","819","467","90402","1537"
"0500000US40027","Cleveland County, Oklahoma","260652","926","82139","3078","4297","1048","3784","1029","13726","1424","13616","1591","11703","1155","30297","2809","4716","1353","178513","3119"
"0500000US40031","Comanche County, Oklahoma","118820","681","36076","2435","2142","646","1816","493","8032","1175","5279","957","9786","2065","7182","1570","1839","638","82744","2490"
"0500000US40037","Creek County, Oklahoma","67707","302","15821","677","790","298","1316","353","3025","474","4260","501","4388","452","1710","464","332","201","51886","684"
"0500000US40101","Muskogee County, Oklahoma","67417","412","17701","1000","1279","454","569","269","4346","505","3933","523","3622","478","3703","747","249","188","49716","870"
"0500000US40109","Oklahoma County, Oklahoma","728596","2152","199957","4482","14178","1900","11270","1532","45004","2501","40498","2568","37143","1625","42560","3480","9304","1360","528639","4423"
"0500000US40119","Payne County, Oklahoma","77103","628","30588","1759","1374","427","770","390","2958","607","3436","787","2532","593","16873","1504","2645","902","46515","1670"
"0500000US40125","Pottawatomie County, Oklahoma","68997","347","17695","796","1220","292","1125","303","3523","436","4486","476","3174","304","3540","589","627","256","51302","711"
"0500000US40131","Rogers County, Oklahoma","87124","364","22880","982","1437","360","1358","284","5329","511","5010","530","5421","401","3813","743","512","200","64244","940"
"0500000US40143","Tulsa County, Oklahoma","601695","1013","163083","2523","11087","984","10130","928","37050","1737","34532","1734","33196","1341","31096","2056","5992","960","438612","2566"
"0500000US40145","Wagoner County, Oklahoma","73190","327","18523","718","1465","423","1125","281","5118","511","3984","482","4171","418","2283","554","377","216","54667","688"
"0500000US41003","Benton County, Oregon","84022","383","31846","1584","505","265","1063","378","3892","743","2794","714","4014","639","16619","1473","2959","805","52176","1619"
"0500000US41005","Clackamas County, Oregon","382837","1014","94303","2471","5689","1077","4745","1184","17607","1601","22256","1601","21589","1326","19091","2391","3326","836","288534","2642"
"0500000US41017","Deschutes County, Oregon","164383","1012","36613","1609","1306","567","1959","853","8071","1490","9714","1647","7291","787","7381","1158","891","584","127770","1845"
"0500000US41019","Douglas County, Oregon","103955","544","20638","1325","1079","474","702","314","4973","817","4307","817","5410","723","3667","1114","500","392","83317","1386"
"0500000US41029","Jackson County, Oregon","203862","1188","46446","2510","2424","703","1802","776","10015","1218","9768","1523","11171","1520","10307","1883","959","475","157416","2447"
"0500000US41033","Josephine County, Oregon","81473","592","15902","1700","1082","462","543","357","3028","886","3606","1068","4761","1068","2571","1201","311","275","65571","1783"
"0500000US41035","Klamath County, Oregon","63473","452","15751","1204","908","452","767","458","4056","894","2934","738","2950","407","3656","830","480","323","47722","1170"
"0500000US41039","Lane County, Oregon","349027","1019","96176","3421","4806","969","4662","1094","14752","1353","15829","1743","16319","1077","34578","3040","5230","1081","252851","3397"
"0500000US41043","Linn County, Oregon","114335","654","28156","1692","642","424","2172","927","5107","1032","6722","768","6656","921","5794","1416","1063","420","86179","1812"
"0500000US41047","Marion County, Oregon","312770","1181","85518","2710","3942","1060","4805","1200","21470","1478","16057","1547","17580","1127","18341","2023","3323","934","227252","2716"
"0500000US41051","Multnomah County, Oregon","749991","1513","187145","4691","13060","1363","9136","1317","33789","2301","32279","2452","31385","1711","52348","3801","15148","1898","562846","4087"
"0500000US41053","Polk County, Oregon","75419","450","21853","1779","852","393","1514","690","3918","896","3748","857","4830","1007","6630","1556","361","263","53566","1682"
"0500000US41059","Umatilla County, Oregon","73164","608","18202","1398","825","426","1188","567","4395","738","3955","807","4871","745","2426","711","542","349","54962","1407"
"0500000US41067","Washington County, Oregon","541374","1680","141045","3531","8135","1531","5597","1204","31635","2087","31128","2180","29373","1716","27122","2648","8055","1862","400329","3802"
"0500000US41071","Yamhill County, Oregon","97841","577","24678","1400","1412","607","954","598","5054","1010","5768","1079","5229","635","5644","1061","617","574","73163","1446"
"0500000US42001","Adams County, Pennsylvania","99065","391","24087","1213","1212","332","1148","393","5190","597","4882","684","4687","350","6141","1170","827","310","74978","1242"
"0500000US42003","Allegheny County, Pennsylvania","1190995","1762","280782","4039","17721","1712","12162","1625","50972","2458","52517","2591","54933","1830","68448","3783","24029","2229","910213","4010"
"0500000US42005","Armstrong County, Pennsylvania","65678","275","12834","568","497","189","463","237","2953","403","3279","520","3495","347","1732","407","415","219","52844","612"
"0500000US42007","Beaver County, Pennsylvania","164161","650","34389","1222","1675","616","2226","639","7616","989","7839","867","7048","791","6566","828","1419","520","129772","1178"
"0500000US42011","Berks County, Pennsylvania","399083","1006","101027","3051","5437","1065","3823","874","21291","1830","22232","2028","22926","1074","22070","2176","3248","817","298056","2997"
"0500000US42013","Blair County, Pennsylvania","122533","517","25287","1263","1779","416","1456","470","5908","902","5881","966","5050","501","4680","1155","533","331","97246","1402"
"0500000US42017","Bucks County, Pennsylvania","610014","1711","148639","2811","10503","1664","8298","1284","28145","2068","32413","2081","34376","1346","27883","1956","7021","1522","461375","2888"
"0500000US42019","Butler County, Pennsylvania","180842","592","44052","1288","2860","656","1720","443","7402","1019","10514","1160","9694","778","10188","1167","1674","529","136790","1359"
"0500000US42021","Cambria County, Pennsylvania","133537","433","30784","1062","1361","371","1673","346","6161","591","6330","610","5868","535","7977","983","1414","443","102753","1032"
"0500000US42025","Carbon County, Pennsylvania","63049","310","13317","1143","997","470","401","262","3001","704","3505","622","2977","357","2313","714","123","127","49732","1061"
"0500000US42027","Centre County, Pennsylvania","154525","787","57140","2217","1588","516","1603","583","4849","834","5568","1076","5902","853","32457","1767","5173","1063","97385","2100"
"0500000US42029","Chester County, Pennsylvania","495762","1235","131362","3566","8597","1337","4915","986","27566","1879","28525","2025","26952","1378","29180","2634","5627","1087","364400","3204"
"0500000US42033","Clearfield County, Pennsylvania","79174","425","15037","931","683","204","736","339","3048","719","3542","490","4427","633","2243","581","358","148","64137","1080"
"0500000US42037","Columbia County, Pennsylvania","65520","318","17525","1146","445","205","728","303","2824","420","2814","462","2572","273","7818","1021","324","185","47995","1134"
