"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US06059","Orange County, California","3145515","*****","2065194","*****","1315644","1185","48139","2885","6618","1099","595098","8525","8803","1339","4109","1033","86783","9110","2484","951","84299","9109","1080321","*****","667092","19679","3251","1554","7462","1975","4670","1690","130","155","358346","20750","39370","4875","20825","3457","18545","3159"
"0500000US06061","Placer County, California","371694","*****","321521","*****","275456","286","5586","732","1481","650","26567","1481","1149","83","238","285","11044","1716","740","691","10304","1675","50173","*****","37470","3139","316","257","861","794","229","240","306","491","9003","2787","1988","932","1191","674","797","471"
"0500000US06065","Riverside County, California","2329271","*****","1224301","*****","864029","2483","136749","3775","9456","1912","143805","3545","4841","1045","4562","2068","60859","5535","4612","2166","56247","5045","1104970","*****","611663","19836","8625","2767","11820","3907","4102","1772","729","523","429851","20577","38180","4976","20270","3882","17910","2832"
"0500000US06067","Sacramento County, California","1482026","*****","1148399","*****","686519","2471","144664","3485","5402","1314","225363","5103","15581","1020","7645","2943","63225","6400","3835","1695","59390","6032","333627","*****","185376","8114","5643","1709","4927","2739","2721","971","669","602","104473","8669","29818","3919","13614","2360","16204","3199"
"0500000US06071","San Bernardino County, California","2112619","*****","1021391","*****","642908","2056","165790","4252","7147","1429","141139","3190","6427","828","6257","2798","51723","5134","2730","1419","48993","4780","1091228","*****","641570","14417","9776","2900","12623","3876","2638","817","529","521","390419","13506","33673","4063","18380","2624","15293","3373"
"0500000US06073","San Diego County, California","3263431","*****","2180403","*****","1520451","825","151480","5088","10894","1624","371659","5604","13223","2129","4460","1723","108236","8082","1457","633","106779","8096","1083028","*****","793588","15660","10123","2466","5056","1534","6347","2042","1030","508","207587","13655","59297","7592","26360","4297","32937","5697"
"0500000US06075","San Francisco County, California","852469","*****","722194","*****","348131","1578","44419","1635","1440","416","287291","2834","3474","448","5612","2024","31827","2946","1104","671","30723","3022","130275","*****","55479","5411","1567","1006","942","515","2359","1523","191","226","59455","6205","10282","2199","5122","1847","5160","1594"
"0500000US06077","San Joaquin County, California","715597","*****","426131","*****","241977","831","49039","1636","1710","516","106707","2241","4233","258","1394","938","21071","2750","778","621","20293","2552","289466","*****","152973","10214","3111","1346","3117","1088","3217","1327","0","200","89335","9560","37713","4991","8354","2428","29359","4867"
"0500000US06079","San Luis Obispo County, California","279083","*****","217562","*****","193646","313","5412","767","975","378","10951","920","0","200","316","313","6262","1279","0","200","6262","1279","61521","*****","49902","2474","166","248","213","208","434","429","0","200","8730","2101","2076","941","1162","669","914","641"
"0500000US06081","San Mateo County, California","758581","*****","566978","*****","305210","1010","18373","1234","1209","581","203888","2709","9783","1410","1632","1009","26883","3895","732","430","26151","3845","191603","*****","94747","7734","1499","1060","1254","797","2644","1777","31","53","81476","7624","9952","2023","5561","1606","4391","1434"
"0500000US06083","Santa Barbara County, California","440668","*****","244812","*****","202058","357","6886","934","1115","607","20658","1491","636","258","435","371","13024","2015","15","25","13009","2013","195856","*****","137434","5932","1612","1344","1903","888","450","392","489","587","43952","5508","10016","2928","5014","1912","5002","1943"
"0500000US06085","Santa Clara County, California","1894605","*****","1391543","*****","627332","1086","45916","1753","2271","731","647313","4089","6095","1343","3417","1014","59199","4251","3690","1462","55509","4419","503062","*****","280534","14236","2253","897","5623","1696","4301","1385","1060","1110","181897","13996","27394","3710","13671","2353","13723","3013"
